Time,Charge-off rate,Real GDP growth          ,Nominal GDP growth         ,Real disposable income growth        ,Nominal disposable income growth        ,Unemployment rate          ,CPI inflation rate         ,3-month Treasury rate         ,5-year Treasury yield         ,10-year Treasury yield         ,BBB corporate yield         ,Mortgage rate          ,Prime rate          ,Dow Jones Total Stock Market Index      ,House Price Index         ,Commercial Real Estate Price Index       ,Market Volatility Index (VIX)        ,Euro area real GDP growth       ,Euro area inflation         ,Euro area bilateral dollar exchange rate ($/euro)     ,Developing Asia real GDP growth       ,Developing Asia inflation         ,"Developing Asia bilateral dollar exchange rate (F/USD, index, base = 2000 Q1)",Japan real GDP growth        ,Japan inflation          ,Japan bilateral dollar exchange rate (yen/USD)      ,U.K. real GDP growth        ,U.K. inflation          ,U.K. bilateral dollar exchange rate (USD/pound)      
Q2 2013,0.03095,2.5,3.1,3.5,3.4,7.6,0,0.1,0.9,2,4.1,3.7,3.3,16771.3,157.8,214.3,20.5,1.1,0.6,1.3,6.3,3,87,3.8,0.8,99.2,2.7,1.5,1.5
Q3 2013,0.02979,2,4.7,1.7,4.3,7.3,2.3,0,1.5,2.7,4.9,4.4,3.3,17718.3,158.8,217,17,0.6,1.9,1.4,6.5,3.9,87.2,2.6,3.1,98.3,3.2,3.1,1.6
Q4 2013,0.0305,2.4,3.8,2.4,3.8,7.3,1.7,0.1,1.8,2.8,5,4.5,3.2,17169.2,159.7,219.7,19,0.9,1.5,1.3,6.5,3.4,87.9,2.4,1.8,101.2,2.1,2.5,1.5
Q1 2014,,2.6,4.7,2.6,4.2,7.1,1.9,0.1,2,2.9,4.9,4.6,3.2,17386.8,160.7,222.4,17,1,1.5,1.3,6.5,3.6,88.1,2,2.1,103.2,2.2,2.4,1.5
Q2 2014,,2.8,4.3,2.6,4.2,7,1.9,0.1,2.1,3,5,4.7,3.2,17594.4,161.8,225.2,18.1,1.1,1.4,1.3,6.5,3.8,88.2,1.7,2.2,104.9,2.2,2.2,1.4
Q3 2014,,2.9,4.8,2.7,4.6,6.9,2.1,0.1,2.2,3.1,5.1,4.8,3.2,17822.3,162.8,228.1,18,1.2,1.4,1.3,6.5,3.8,88.1,1.4,2.2,106.4,2.2,2.1,1.5
Q4 2014,,2.9,4.8,2.7,4.6,6.8,2.1,0.2,2.3,3.3,5.2,5,3.3,18054.1,163.8,230.9,18.3,1.3,1.4,1.3,6.5,3.7,88,1.3,2,107.8,2.1,2.1,1.5
Q1 2015,,2.9,5,3.1,5.2,6.7,2.3,0.4,2.4,3.4,5.3,5,3.5,18298.6,165,232.7,18.2,1.5,1.4,1.3,6.5,3.5,86.6,1.3,1.8,107.8,2.1,2,1.5
Q2 2015,,2.9,4.9,2.9,4.9,6.6,2.2,0.6,2.6,3.5,5.4,5.2,3.7,18540.8,166.3,234.4,18.9,1.6,1.5,1.2,6.6,3.3,85.1,1.3,1.5,107.8,2,2,1.5
Q3 2015,,2.9,5,2.8,4.9,6.4,2.3,0.8,2.7,3.7,5.5,5.3,3.9,18790.7,167.5,236.2,19,1.6,1.5,1.2,6.6,3.2,83.7,1.4,1.4,107.8,2,2,1.5
Q4 2015,,2.9,5.1,2.8,4.9,6.3,2.3,1.1,2.8,3.8,5.6,5.5,4.2,19045.8,168.8,238,19.2,1.7,1.5,1.2,6.6,3.2,82.4,1.4,1.4,107.8,2,2,1.5
Q1 2016,,2.8,5,2.7,4.9,6.2,2.3,1.6,2.9,4,5.8,5.7,4.7,19301.5,170,239.8,19.5,1.6,1.5,1.2,6.6,3.3,82,1.4,1.5,107.4,2,2,1.5
Q2 2016,,2.8,5,2.8,5,6.1,2.3,1.9,3.1,4.2,5.9,5.8,5,19560.6,171.3,241.6,19.8,1.6,1.5,1.3,6.6,3.4,81.7,1.3,1.6,107,2,1.9,1.5
Q3 2016,,2.8,5,2.8,5,6.1,2.4,2.2,3.1,4.3,6,5.9,5.3,19825.7,172.6,243.4,20,1.6,1.5,1.3,6.6,3.4,81.4,1.3,1.7,106.5,2.1,2,1.5
Q4 2016,,2.8,5.1,2.8,5,6,2.4,2.4,3.2,4.4,6.1,6,5.5,20096,173.9,245.2,20.1,1.6,1.6,1.3,6.6,3.4,81.2,1.3,1.7,106.1,2.1,2,1.5
