ID RSSD,Name,Average Assets (in Mn.),Net Income (in Mn.)
17147,"FIRST MERCHANTS BANK, NATIONAL ASSOCIATION",5.432012,0.031247
716413,SCOTIABANK DE PUERTO RICO,5.386912,0.010986
871769,FARMERS AND MERCHANTS BANK OF LONG BEACH,5.319328,0.030171
470050,"FIRST FINANCIAL BANK, NATIONAL ASSOCIATION",5.202504,0.040892
101019,BANK LEUMI USA,5.127127,0.011543
1010930,"UNITED BANK, INC.",5.114985,0.027757
3076248,STIFEL BANK AND TRUST,5.052817,0.029777
4041421,"FLORIDA COMMUNITY BANK, NATIONAL ASSOCIATION",4.947383,0.014691
814430,CITY NATIONAL BANK OF FLORIDA,4.94301,0.023354
4210227,"NBH BANK, NATIONAL ASSOCIATION",4.886817,0.004522
697763,WESTAMERICA BANK,4.857691,0.030846
959304,FLUSHING BANK,4.792846,0.021936
2354985,CUSTOMERS BANK,4.786919,0.020804
2797724,TOWNEBANK,4.747732,0.022808
991340,1ST SOURCE BANK,4.745624,0.030634
701062,CENTRAL PACIFIC BANK,4.74088,0.020216
2858960,"BANCORP BANK, THE",4.677079,0.000582
3476192,CARTER BANK & TRUST,4.667068,0.015997
1004368,NATIONAL BANK OF ARIZONA,4.648939,0.020235
936426,S & T BANK,4.633911,0.030202
3545324,TALMER BANK AND TRUST,4.474113,0.023275
673440,FIRST SECURITY BANK,4.419561,0.049246
58971,WASHINGTON TRUST BANK,4.39627,0.020875
352772,BANNER BANK,4.251947,0.030147
557858,"INTRUST BANK, NATIONAL ASSOCIATION",4.232773,0.022788
412751,WOODFOREST NATIONAL BANK,4.129454,0.036957
506922,SANDY SPRING BANK,4.128497,0.018305
53033,"SABADELL UNITED BANK, NATIONAL ASSOCIATION",4.050709,0.015557
456960,NEVADA STATE BANK,4.02862,0.008223
2047504,OPUS BANK,4.016971,0.02353
39475,AMERICANWEST BANK,3.898254,0.016158
58243,JOHNSON BANK,3.874503,0.013681
200378,"BANC OF CALIFORNIA, NATIONAL ASSOCIATION",3.865414,0.016099
913856,PINNACLE BANK,3.819434,0.030555
353555,AMARILLO NATIONAL BANK,3.813492,0.039088
2652092,EAGLEBANK,3.77934,0.026041
661308,AMALGAMATED BANK,3.770808,-0.004403
572374,GREAT SOUTHERN BANK,3.718446,0.02065
1438589,NEW YORK COMMERCIAL BANK,3.644256,0.018222
509811,"COMMUNITY TRUST BANK, INC.",3.640742,0.021785
382667,WILSHIRE BANK,3.617861,0.028956
377908,CENTURY BANK AND TRUST COMPANY,3.586611,0.011368
3348888,SERVISFIRST BANK,3.558667,0.023874
122854,INDEPENDENT BANK,3.53109,0.013036
878898,"VIEWPOINT BANK, NATIONAL ASSOCIATION",3.510741,0.017766
764030,AMERIS BANK,3.500688,0.018508
663245,SIMMONS FIRST NATIONAL BANK OF PINE BLUFF,3.479639,0.015046
316840,REPUBLIC BANK & TRUST COMPANY,3.458476,0.019237
361167,SOUTHSIDE BANK,3.452702,0.020457
416245,BUSEY BANK,3.442572,0.01535
3445769,FIRST NBC BANK,3.438418,0.026045
1011526,CITY NATIONAL BANK OF WEST VIRGINIA,3.376303,0.026276
770367,COMMUNITY BANK,3.374273,0.012852
1407932,FULTON BANK OF NEW JERSEY,3.370595,0.012175
850036,FIRST AMERICAN BANK,3.365747,0.014689
1908082,BANK OF NORTH CAROLINA,3.339252,0.013812
687009,LAKELAND BANK,3.333696,0.016073
782306,BROOKLINE BANK,3.316202,0.0149
936462,MECHANICS BANK,3.302166,0.007891
1929247,"CENTERSTATE BANK OF FLORIDA, NATIONAL ASSOCIATION",3.288986,0.003455
663834,OCEAN BANK,3.265552,0.013805
667757,COMMUNITY TRUST BANK,3.259849,0.012805
874845,LAKE CITY BANK,3.24196,0.021931
216922,FIRST BANK,3.217367,0.013528
816603,"WASHINGTON TRUST COMPANY OF WESTERLY, THE",3.182619,0.019504
114260,FIRST NATIONAL BANK ALASKA,3.125772,0.01585
3202702,"OPTUM BANK, INC.",3.114108,0.031419
2683014,CARDINAL BANK,3.088852,0.01515
1190476,ENTERPRISE BANK & TRUST,3.087355,0.015037
657365,HANMI BANK,2.998985,0.023872
436711,"HUDSON VALLEY BANK, N.A.",2.994244,0.00383
3967449,COMMUNITY & SOUTHERN BANK,2.920223,0.001195
2265456,"WILMINGTON TRUST, NATIONAL ASSOCIATION",2.815986,0.00616
